x,y,z,nx,ny,nz,offset_x,offset_y,offset_z
4.743921443724167,-0.16935329168366456,0.3195093200089655,-1.8926399,8.856393e-05,0.0,3.9439214446000332,-0.1693158565942308,0.3195093200089655
4.752338774454302,-0.08467598940302341,0.3149906359852701,-1.8926061,8.5427455e-05,0.0,3.9523387752692587,-0.08463987942539501,0.3149906359852701
4.823881533958888,-0.30929052936486323,0.4971840842473238,-0.84409785,-3.8290484,0.0,4.651659882643895,-1.0905329391317276,0.4971840842473238
4.781446824276269,-0.28185322975901517,0.40966405232554026,-0.8441449,-3.8290436,0.0,4.609215812354671,-1.0630935759601459,0.40966405232554026
4.896610768999915,-0.11211327349811433,0.5922387640345643,1.8529131,-0.3681816,0.0,5.681270232673536,-0.2680283980608883,0.5922387640345643
4.88321746614233,-0.22461324913116848,0.5875294259356406,1.8530965,-0.36820436,0.0,5.66787803727118,-0.3805228002040524,0.5875294259356406
4.809336140729224,0.00025866828780284903,0.4065920412653503,0.34181273,3.9811435,0.0,4.87777071029041,0.7973262373739972,0.4065920412653503
4.861424073565619,0.00012933538881406022,0.5008280575331955,0.34181467,3.981143,0.0,4.929859037225317,0.7971968706384288,0.5008280575331955
4.866357444312594,-0.15438656463744338,0.5473800532090362,-3.5079129,0.3862151,0.0,4.071162455340037,-0.06683698146919109,0.5473800532090362
4.771834786892533,-0.12682123468909187,0.3656240050193505,-3.5079532,0.38618696,0.0,3.9766389946519483,-0.0392789477480395,0.3656240050193505
4.751169435739076,0.08454795978046165,0.3156186975243007,-1.8926059,-8.4879786e-05,0.0,3.951169436543617,0.08451208129739674,0.3156186975243007
4.745090708221083,0.16948260350750183,0.3188813402826367,-1.8926402,-8.915737e-05,0.0,3.945090709108726,0.16944491758287608,0.3188813402826367
4.780277421283168,0.2817251969492299,0.4102920118931065,-0.84414995,3.829043,0.0,4.608045401028414,1.062965320854144,0.4102920118931065
4.825050759087359,0.30941855813663643,0.49655608695234915,-0.8441011,3.8290482,0.0,4.652828466825751,1.0906608266092,0.49655608695234915
4.882048140212721,0.22448392216497806,0.5881574401037044,1.8530971,0.36820185,0.0,5.666708924147374,0.3803924022263787,0.5881574401037044
4.897780110560328,0.11224130667631077,0.5916107942052469,1.8529133,0.36818406,0.0,5.682439378313961,0.2681574172240411,0.5916107942052469
4.860254779480658,-0.0002586647412440635,0.5014560520535889,0.34181398,-3.9811435,0.0,4.928689597473885,-0.7973262124975392,0.5014560520535889
4.810505405079702,-0.0001293315829109051,0.4059640467110367,0.34181345,-3.9811435,0.0,4.878940117737747,-0.7971968883830927,0.4059640467110367
4.862701416214851,0.1681705716335784,0.5433947517471973,-3.5079367,-0.38622063,0.0,4.067506498990934,0.08062033678954046,0.5433947517471973
4.768178793416785,0.1406052559491874,0.361638730949991,-3.5079343,-0.3861878,0.0,3.9729830731907763,0.05306231486175084,0.361638730949991
1.8500239898507647,-0.05652683002095549,0.43904143324767525,-2.135975,-2.5870192,0.0,1.3406787022884497,-0.6734282630214493,0.43904143324767525
1.8430919663689513,-0.01884287409844205,0.4769987157691498,-2.1359785,-2.5869992,0.0,1.3337438410102869,-0.635741964058554,0.4769987157691498
2.1040427717207266,-0.03708823224728794,0.6183347238779816,-0.8377666,-2.5106995,0.0,1.8508247860913478,-0.7959562390533463,0.6183347238779816
2.2355346703105115,-0.02678687487208772,0.6627654570553198,-0.6117352,-2.1195893,0.0,2.0137006272972537,-0.795415300940492,0.6627654570553198
2.48019196972927,-0.2710922067220828,0.569005417894883,-0.45322677,-1.7781807,0.0,2.2826033239581687,-1.0463074846045188,0.569005417894883
2.4083054346386104,-0.32106283811011815,0.5294840493527887,-1.0191166,-1.6781857,0.0,1.9930579859712978,-1.0048534174363382,0.5294840493527887
